Starting price: $10.00
On day 1 $10.00
On day 2 $9.76
On day 3 $10.09
On day 4 $10.34
On day 5 $10.03
On day 6 $11.43
On day 7 $11.20
On day 8 $11.47
On day 9 $12.36
On day 10 $12.25
On day 11 $12.07
On day 12 $11.50
On day 13 $11.17
On day 14 $12.43
On day 15 $13.08
On day 16 $12.45
On day 17 $12.01
On day 18 $11.67
On day 19 $12.57
On day 20 $12.20
On day 21 $13.88
On day 22 $13.37
On day 23 $13.88
On day 24 $14.48
On day 25 $14.04
On day 26 $15.49
On day 27 $16.50
On day 28 $16.33
On day 29 $15.97
On day 30 $15.50
On day 31 $18.08
On day 32 $20.47
On day 33 $19.70
On day 34 $22.10
On day 35 $21.15
On day 36 $21.14
On day 37 $20.65
On day 38 $24.08
On day 39 $23.36
On day 40 $22.78
On day 41 $21.81
On day 42 $21.13
On day 43 $24.42
On day 44 $28.09
On day 45 $28.03
On day 46 $29.30
On day 47 $33.22
On day 48 $31.73
On day 49 $30.22
On day 50 $33.84
On day 51 $32.48
On day 52 $36.38
On day 53 $35.69
On day 54 $34.05
On day 55 $38.77
On day 56 $39.39
On day 57 $37.87
On day 58 $36.66
On day 59 $38.36
On day 60 $38.14
On day 61 $40.75
On day 62 $40.71
On day 63 $40.14
On day 64 $40.95
On day 65 $46.08
On day 66 $51.15
On day 67 $55.05
On day 68 $59.72
On day 69 $62.68
On day 70 $61.72
On day 71 $69.05
On day 72 $68.62
On day 73 $75.32
On day 74 $71.68
On day 75 $68.43
On day 76 $65.26
On day 77 $65.99
On day 78 $63.12
On day 79 $60.29
On day 80 $65.71
On day 81 $64.42
On day 82 $62.42
On day 83 $68.83
On day 84 $66.95
On day 85 $76.31
On day 86 $73.82
On day 87 $72.87
On day 88 $70.98
On day 89 $67.79
On day 90 $64.69
On day 91 $71.87
On day 92 $70.62
On day 93 $76.36
On day 94 $76.03
On day 95 $89.31
On day 96 $95.70
On day 97 $109.04
